id,category,year,question,option_a,option_b,option_c,option_d,correct_answer,explanation,reference,difficulty
11,道路,2015,カルバートの要求性能に関する記述として、誤っているものはどれか。,性能1は想定する作用によってカルバートとしての健全性を損なわない性能である,性能1は安全性供用性修復性全てを満たすものである。しかし降雨や地震動の作用による軽微な変形について全く許容しないことではなく通常の維持管理程度の補修で機能を確保できることも含んでいる,性能2は想定する作用による損傷が限定的なものにとどまりカルバートとしての機能の回復を速やかに行い得る性能である,性能2は安全性および供用性を満たすものでありカルバートとしての機能が応急復旧程度の作業で速やかに回復できることを意図している,b,性能1では軽微な補修で機能確保できることを含む,道路土工構造物技術基準,標準
12,道路,2015,カルバートの維持管理に関する記述として、誤っているものはどれか。,点検には日常点検定期点検の他に異常気象時等の場合に臨時に行う点検がある,点検の手段は目視観察では不十分なので双眼鏡の使用ハンマーによる打音点検損傷位置の測定等詳細に行うことを基本とする,点検は対象構造物にできるだけ接近した箇所で行うことが望ましいのでリフト車やはしご等を利用する,カルバートの点検における調査項目としては上部道路の状況カルバート内部の道路や水路の状況カルバートの変状の有無がある,b,点検は目視観察を基本とし必要に応じて詳細点検を行う,道路土工構造物技術基準,標準
13,道路,2015,舗装の現況調査および評価に関する記述として、誤っているものはどれか。,簡易調査は巡回パトロール時の目視観察や道路利用者または沿道住民からの情報により路面の状況などを把握する調査である,路面の性能はひび割れ率わだち掘れ量平坦性浸透水量などで評価する,舗装構造の評価方法には残存等値換算厚表面たわみ疲労度などの指標を用いて行う方法がある,PSIは舗装構造の評価を行うための代表的な評価式である,d,PSIは路面の乗り心地を評価する指標,舗装設計施工指針,標準
14,道路,2015,アスファルト舗装の維持修繕工法に関する記述として、誤っているものはどれか。,対策の及ぶ層の範囲が基層までの維持修繕工法には表層・基層打換え工法オーバーレイ工法路上表層再生工法などがある,対策の及ぶ層の範囲が表層のみの維持修繕工法には打換え工法局部打換え工法路上路盤再生工法などがある,薄層オーバーレイ工法は既設舗装の上に厚さ4cm未満の加熱アスファルト混合物を舗設する工法である,シール材注入工法は比較的幅の広いひび割れに注入目地材等を充填する工法である,b,路上路盤再生工法は路盤まで対策が及ぶ工法,舗装設計施工指針,標準
15,道路,2015,落石の計測管理に関する記述として、誤っているものはどれか。,落石検知システムは落石の発生・落下を検知するシステムで落下・衝突を感知する計測機器を使用する,落石監視システムは斜面上の浮石や不安定岩塊について変動・傾斜を測定・監視し異常を監視するためのシステムである,落石検知の計測機器の代表的なものとして伸縮計傾斜計画像解析などがある,落石監視の計測機器のうち亀裂変位計は大変位の計測は困難であるとともに転石の計測には適さない,c,落石検知には振動センサーや光ファイバーセンサーが使用される,道路防災点検要領,標準
16,道路,2015,道路構造物の用語の説明として、誤っているものはどれか。,中央帯は車線の往復方向別の分離車両の通行に必要な側方余裕の確保右折車線の設置など自動車の交通機能(通行機能)に必要な空間である,停車帯は車両の通行に必要な側方余裕の確保故障車の待避による事故と交通の混乱防止などを目的とする道路の部分である,植樹帯は異種交通の分離による交通の安全性・快適性の向上など自動車・歩行者などの交通機能(通行機能)に必要な空間である,副道は沿道施設への乗入れなど自動車の交通機能(アクセス機能)に必要な空間である,a,中央帯は市街地形成防災環境収容の各空間機能も提供する,道路構造令,標準
17,道路,2015,道路の区分に関する記述として、誤っているものはどれか。,道路の区分は道路の種類計画交通量道路の存する地域および地形の状況から定まるものであり自動車の交通機能を中心に考えて定めたものである,道路の区分は高速自動車国道および自動車専用道路とそれ以外の道路の別道路の存する地域地形の状況および計画交通量に応じて第1種第1級から第4級第2種第1級および第2級第3種第1級から第5級第4種第1級から第4級までの種別級別に区分している,普通道路とは道路構造令第4条に規定する小型自動車普通自動車セミトレーラ連結車の通行の用に供することを目的とする道路であり通行機能アクセス機能など一般的な機能を有する道路である,小型道路とは設計車両を道路構造令第4条に規定する小型自動車等のみの通行の用に供することを目的とする道路であり主にアクセス機能を考慮した道路である,b,第2種は第1級と第2級のみの区分,道路構造令,標準
18,道路,2015,曲線部の拡幅に関する記述として、誤っているものはどれか。,車道の曲線部においては当該道路の区分曲線半径に応じて1車線(車線を有しない道路にあたっては車道)毎に拡幅するものとする,曲線部の拡幅について第3種の普通道路および小型道路において地形の状況その他の特別な理由により拡幅を設けなくても良い場合がある,曲線半径に応じた拡幅量の最小値は1車線当たり0.25mである,曲線半径に応じた拡幅量の最大値は1車線当たり2.25mである,d,拡幅量の最大値は1車線当たり1.5m程度,道路構造令,標準
19,道路,2015,道路の縦断線形に関する記述として、誤っているものはどれか。,同方向に屈曲する縦断曲線の間に短い直線を入れることは避けることが望ましい,縦断方向の路面排水のために3.0~5.0%程度の縦断勾配を付しておくのが望ましい,短区間で凹凸を繰り返す縦断線形は避けることが望ましい,サグ部に必要以上に大きな縦断曲線を入れることは避けることが望ましい,b,路面排水のための縦断勾配は0.3~0.5%程度,道路構造令,標準
20,道路,2015,道路の線形に関する記述として、誤っているものはどれか。,平面曲線と縦断曲線の重ね合わせることは避けることが望ましい,平面曲線と縦断曲線との大きさの均衡を保つことが望ましい,下り勾配で直線の先に急な平面曲線を接続することは避けることが望ましい,適当な合成勾配の得られる線形の組合せを選ぶことが望ましい,a,平面曲線と縦断曲線は適切に重ね合わせることが望ましい,道路構造令,標準
21,道路,2015,平面交差に関する記述として、誤っているものはどれか。,平面交差点における安全性と円滑性を考慮し交差点付近の直進車の設計速度は原則としてその道路の設計速度を減じることとする,道路は駅前広場等特別の箇所を除き同一箇所において同一平面で5以上交会させてはならない,お互いに交差する交通流は直角またはそれに近い角度で交差するように計画しなければならない。しかしやむを得ない場合には60度以上とすることができる,第1種の道路の交差点は信号によって制御されないことを基本とする,b,同一平面では4以上の交会は避ける,道路構造令,標準
22,道路,2015,立体交差に関する記述として、誤っているものはどれか。,完全出入り制限を行う第1種の普通道路と他の普通道路との交差はすべて立体交差とする,第3種または第4種の普通道路においては車線の数が4以上である普通道路が相互に交差する場合は立体交差を原則とする,第1種の部分出入り制限の普通道路および第3種第4種の立体交差であっても交通量および交通の安全から見て当分の間平面交差で処理できると認められる場合は段階建設として平面交差とすることができる,第2種の普通道路と他の普通道路との交差はすべて平面交差とする,d,第2種でも必要に応じて立体交差とする場合がある,道路構造令,標準
23,道路,2015,立体交差における上級道路の区分とランプ種別の組合せとして、誤っているものはどれか。,第1種道路-A規格またはB規格(特別な場合D規格),第2種道路-C規格(特別な場合A規格),第3種道路-C規格(特別な場合A規格),第4種道路-B規格(特別な場合D規格),d,第4種道路はC規格またはD規格,道路構造令,標準
24,道路,2015,歩車共存道路等に関する記述として、誤っているものはどれか。,歩行者に対するサービスを優先し自動車に対するサービスを限定する道路である,自動車の通行が非常に少ない道路で歩行者の安全確保のために歩道等を設置するのは経済的合理的でない道路に対応できる,たまり空間を確保することにより立ち話等のような住宅地や商店街に存する道路が持つべき機能を持たせることができる,歩車共存道路は歩行者の通行空間が設けられ自動車自転車の通行空間とは物理的に分離される,d,歩車共存道路は物理的分離ではなく通行方法により共存を図る,道路構造令,標準
25,道路,2015,道路の附属施設に関する記述として、誤っているものはどれか。,主として夜間における交通の安全と円滑化を図るため必要がある場合において照明施設を設けるものとする,道路の屈曲部見通しの悪い交差点等には他の車両等を確認するため必要がある場合においては視線誘導標を設けるものとする,舗装された路面には必要な場所にマーキングを設けなければならない,第1種および第2種の道路や出入制限を行っている第3種第1級第2級および第4種第1級の道路には火災交通事故車両故障等の発生を関係機関に緊急に連絡するため必要がある場合においては適切な間隔で非常電話を設けるものとする,b,視線誘導標ではなくカーブミラー等の安全施設,道路構造令,標準
26,道路,2015,道路の移動等円滑化ガイドライン(歩道等)に関する記述として、誤っているものはどれか。,歩道等の縦断勾配は5%以下とするものとする。ただし地形の状況その他の特別な理由によりやむを得ない場合においては8%以下とすることができる,歩道等(車両乗入れ部及び横断歩道に接続する部分を除く)に設ける縁石の車道等に対する高さは25cm以上を基本とする,歩道等(縁石を除く)の車道等に対する高さは5cmを標準とするものとする,横断歩道に接続する歩道等の部分の縁端は車道等の部分より高くするものとしその段差は2cmを標準とする,b,縁石の高さは15cm以上が基本,移動円滑化ガイドライン,標準
27,道路,2015,道路排水の分類に関する記述として、誤っているものはどれか。,のり面排水とは切土盛土あるいは自然斜面を流下する水のみとしのり面の浸食や安定性を損なう排水はのり面排水の対象として扱わない,構造物の排水とは構造物の裏込め部のたん水や構造物内の漏水および降雨降雪により生じた橋面の表面水などを除去することをいう,地下排水とは地下水位を低下させること及び道路に隣接する地帯ならびに路面から浸透してくる水や路床から上昇してきた水をしゃ断したりすみやかに除去することをいう,表面排水とは降雨または降雪によって生じた路面および道路隣接地からの表面水を排除することをいう,a,のり面の浸食や安定性を損なう排水ものり面排水の対象,道路土工排水工指針,標準
28,道路,2015,擁壁の点検に関する記述として、誤っているものはどれか。,防災点検は道路に隣接する土工構造物等について問題があると判断される箇所を抽出するとともにその後の平常時の点検や対策の進め方を検討するための防災対策の基本となるものである,日常点検は通常巡回の際に主に車両上から目視により行うが異常が認められた場合にはその変状の程度はかなり進展しているおそれがあるので変状箇所の周辺状況等にも十分注意して観察する,定期点検は定期巡回の際にできるだけ遠望から点検するものとする,異常時点検は日常点検や定期点検を補完するための点検で集中豪雨や台風の前後地震の直後等に擁壁の異常・損傷等の有無を確認する,c,定期点検はできるだけ近接して詳細に点検,道路土工擁壁工指針,標準
29,道路,2015,盛土部の災害時応急対策に関する記述として、誤っているものはどれか。,崩壊面をシートで覆う。なおこの場合シートのラップ部から雨水を浸入させないように注意する必要がある,崩土流出が懸念される場合のり尻付近に土のうを設置し盛土に隣接する施設等へ支障が出ないようにする。その場合水が溜まることのないように仮排水口を設ける,路面からの雨水浸透を防ぐために将来的にも活用できる本設水路を設ける,小段排水溝の変状・損傷により水が滞留したり滞留した水が盛土のり面を流れ盛土のり面の崩壊を促進することがあるので早急対策を実施する必要がある,c,災害時応急対策では仮設的な対策を基本とし本設工事は復旧段階で実施,道路土工盛土工指針,標準
30,道路,2015,排水施設の維持管理に関する記述として、誤っているものはどれか。,のり面排水としての側溝や小段排水溝等においては山地部では落葉崩落土等人家のあるところでは塵かい等が詰まって排水できなくなる場合があるが定期的に点検して清掃することは不要である,小段排水溝と縦排水溝やのり尻排水溝等の接合点断面変化点は構造も比較的複雑な上プレキャスト製品と現場施工の接点となる場合が多いため構造的な弱点となりやすくまた水流の変化点であることから変状・損傷が発生しやすい,地下排水施設としては集水管(多孔管やドレーン材)を埋設する場合と粗粒材料の透水性を利用して地中の水を排水する場合とがあるがいずれの場合においても吐口に土砂が集まるなどして排水が妨げられることがないように注意する必要がある,横断排水施設(カルバート)内および呑口・吐口に土砂の堆積や流木がないか呑口や翼壁の周りが洗掘されていないかカルバート内部の継ぎ目地の開き躯体の亀裂や漏水がないか等に着眼して定期的に点検を行う,a,排水施設は定期的な点検と清掃が必要,道路土工排水工指針,標準
31,土質及び基礎,2015,土の構成の模式図に示す体積・質量の割合から土の状態を表す諸量として、誤っているものはどれか。,含水比 w=(mw/ms)×100(%),含水率 w=(mw/m)×100(%),体積含水率 θ={Vw/(Vw+Va)}×100(%),飽和度 Sr={Vw/(Va+Vw)}×100(%),b,含水率の定義が誤っている。含水比は乾燥質量に対する水の質量の比,土質力学,標準
32,土質及び基礎,2015,設計に用いるN値を求めるための標準貫入試験方法に関する記述として、正しいものはどれか。,ハンマーの落下方法は自動落下(全自動落下型)とする,標準貫入試験のための掘削孔径は原則66~116mmとする,ハンマーをセットし予備打ち開始前の時点で貫入量が450mmに達した場合は本打ちを実施せずロッド自沈量を記載する,予備打ち及び本打ちにおいて50回の打撃に対して累計貫入量が10mm未満の場合は貫入不能と記録する,b,標準貫入試験の掘削孔径は原則66~116mmが正しい,JIS A 1219,標準
33,土質及び基礎,2015,一軸圧縮試験に関する記述の空欄に入る組み合わせとして、正しいものはどれか。粘性土に対しては[ア]の三軸圧縮試験に代わる簡便な試験として用いることができる。,ア:排水 イ:過小 ウ:過大 エ:塑性,ア:排水 イ:過大 ウ:過大 エ:液性,ア:非排水 イ:過大 ウ:過小 エ:液性,ア:非排水 イ:過小 ウ:過小 エ:塑性,d,一軸圧縮試験は非排水三軸圧縮試験の簡便法で硬質粘性土では強度を過小評価する可能性,道路橋示方書IV下部構造編,やや難
34,土質及び基礎,2015,軟弱地盤の分布域と地盤の成層状況の対応関係において、海岸部から内陸部への地形順序として正しいものはどれか。,海岸砂州→自然堤防→後背湿地→三角州低地,海岸砂州→後背湿地→自然堤防→三角州低地,海岸砂州→三角州低地→自然堤防→後背湿地,海岸砂州→自然堤防→三角州低地→後背湿地,a,海岸部から内陸部へは砂州→自然堤防→後背湿地→三角州低地の順,沖積地盤,やや難
35,土質及び基礎,2015,河川砂防技術基準における河川堤防の新設時に推奨される本調査の調査密度の目安として、誤っているものはどれか。,ボーリング調査は堤防法線付近に沿って本調査(第1次)では1箇所/200m程度本調査(第2次)では1箇所/100m程度の頻度で計画する,本調査(第1次)のボーリング調査の深さは支持層となる地盤まで一般に計画堤防高の3倍程度までとしている,透水性地盤調査の本調査(第2次)のボーリングの深さは基礎地盤の上面から最低限5m以上連続した不透水層までまたは15mまでとする,液状化が想定される地盤の判定のためのボーリング調査(第2次)の深度は地震時に液状化が想定される層下端の深さまでとし軟弱層が厚い場合には地盤種別の判定ができる深さ25m程度までを目安とする,d,液状化判定調査の深度は20m程度が目安,河川砂防技術基準,標準
36,土質及び基礎,2015,グラウンドアンカー工設計上の留意点に関する記述として、誤っているものはどれか。,アンカーを仮設構造物以外の一般的な構造物や地すべり等の抑止工に用いる場合にはアンカーは確実な防食を原則とする,アンカー頭部の受圧構造物はアンカー緊張力が大きな場合に沈下のおそれが生じないような構造と規模を確保する必要がある,アンカー緊張力は時間の経過とともに減少する場合があり永久構造物として用いる場合には再緊張可能なアンカー頭部の構造としてアンカー長に応じた余長を確保する,アンカーの品質保証試験はアンカー全本数の5%以上かつ3本以上に対して多サイクル確認試験をまた残りの全本数に対して1サイクル確認試験を行う,d,品質保証試験は全本数の10%以上かつ3本以上に多サイクル確認試験を実施,道路土工切土工・斜面安定工指針,標準
37,土質及び基礎,2015,盛土の圧縮沈下に関する記述の空欄に入る組み合わせとして、正しいものはどれか。盛土完成後の圧縮量は粘性土盛土で[1]%砂質土盛土で[2]%程度が目安である。,1=0.3~1.5 2=0.4~2.0 3=少ない,1=0.3~1.5 2=0.1~0.5 3=多い,1=0.2~1.0 2=0.4~2.0 3=少ない,1=0.2~1.0 2=0.1~0.5 3=多い,b,粘性土盛土で0.3~1.5%砂質土盛土で0.1~0.5%が目安,道路土工盛土工指針,標準
38,土質及び基礎,2015,盛土工指針の応急対策工の検討にあたって留意すべき主な事項の記述として、誤っているものはどれか。,二次災害の発生のおそれや作業の安全性を確認するなど二次災害防止を第一に考慮する,盛土とその周辺の現地状況交通の状況天候等を十分考慮する,交通を確保しながら応急対策工を施工できることが必要条件となる,迂回道路があるか否か確認するとともに必要に応じて交通崩壊の状況に応じた通行規制を検討する,c,応急対策では安全確保が最優先で交通確保は二次的な条件,道路土工盛土工指針,標準
39,土質及び基礎,2015,道路土工構造物技術基準の切土・斜面安定施設の設計に関する記述として、誤っているものはどれか。,切土のり面はのり面の侵食や崩壊を防止する構造となるよう設計する,切土は雨水や湧水等を速やかに排除する構造となるよう設計する,斜面安定施設については常時の作用として少なくとも死荷重の作用及び活荷重の作用を考慮するほかその設置目的に応じて斜面崩壊落石・岩盤崩壊地すべり又は土石流による影響を考慮する,斜面安定施設は雨水や湧水等を速やかに排除する構造となるよう設計する,c,斜面安定施設では活荷重は一般的に考慮しない,道路土工構造物技術基準,標準
40,土質及び基礎,2015,現地発生土の有効利用の基本的な考え方の記述として、誤っているものはどれか。,安定や沈下等が問題となる材料は障害が生じにくいのり面表層部・緑地等へ使用する,高含水比の材料はなるべく薄く敷き均した後十分な放置期間をとりばっ気乾燥を行い使用するか処理材を混合調整し使用する,有用な表土は可能な限り仮置を行い盛土本体(コア)として有効利用する,岩塊や礫質土は排水処理と安定性向上のためのり尻への使用を図る,c,有用な表土は盛土本体ではなく表層の緑化等に利用,道路土工盛土工指針,標準
41,土質及び基礎,2015,軟弱な粘性土に関する記述として、正しいものはどれか。,正規圧密粘土の強度増加率は自然状態の非排水せん断強さと受けている有効土被り圧の比で表される,正規圧密粘土は一般に正のダイレタンシーを有する,一般的な粘性土の強度増加率mはm=3~4である,一軸圧縮試験において試料の乱れにより強度が低下した供試体は破壊ひずみが小さくなる傾向がある,a,強度増加率は非排水せん断強さと有効土被り圧の比,軟弱地盤対策工指針,標準
42,土質及び基礎,2015,軟弱地盤対策工に関する記述として、正しいものはどれか。,サンドマット工法は主に施工機械のトラフィカビリティーを確保するために用いられる対策でありその厚さは一般的に50cm程度である,地下水位低下工法は砂質土の透水係数が10^-3~10^-6 m/secのオーダーを有する場合に効果的である,ウェルレジスタンス係数はドレーンの長さとドレーン径の比である,サンドコンパクションパイル工法は砂質土地盤を振動により締固めるものであり粘性土地盤には適用できない,a,サンドマットは主にトラフィカビリティー確保のため厚さ50cm程度,軟弱地盤対策工指針,標準
43,土質及び基礎,2015,圧密沈下量の算定式の空欄に当てはまるものとして正しいものはどれか。S=[A]/(1+e0)・log(P0+ΔP)/P0・H,A:体積圧縮係数 B:圧密係数,A:圧密係数 B:圧縮指数,A:初期の鉛直有効応力 B:体積圧縮係数,A:圧縮指数 B:初期の鉛直有効応力,d,圧密沈下量算定にはCc(圧縮指数)を用いる,土質力学,標準
44,土質及び基礎,2015,道路面の維持修繕要否判断の目標値における段差の値として正しいものはどれか。自動車専用道路[A]交通量の多い一般道路[B]交通量の少ない一般道路[C],A:10 B:20 C:30,A:10 B:20 C:40,A:20 B:30 C:40,A:20 B:40 C:60,b,段差の目標値は自専道10mm一般道路(多)20mm一般道路(少)40mm,軟弱地盤対策工指針,標準
45,土質及び基礎,2015,ヒービングの検討に用いる安定数Nbに関する記述として、誤っているものはどれか。,安定数Nbの算定式はNb=γt・H/cである,検討に用いる粘着力cは掘削底面と土留め壁の根入れ先端部の平均値とする,安定数Nbが3.14未満ではヒービングに対する検討は省略してよい,安定数Nbが5.14以上の場合は底部破壊が生じるとされている,c,安定数Nb≧5.14でヒービングの検討が必要,道路土工仮設構造物工指針,標準
46,土質及び基礎,2015,土留め工の掘削底面の安定に関する記述として、誤っているものはどれか。,盤ぶくれは掘削底面下に粘性土(難透水層)がありその直下に被圧帯水層が存在する場合に検討する,ヒービングは沖積粘性土のような含水比の高い粘性土が厚く堆積する地盤で発生する危険性が増大する,パイピングはボイリング盤ぶくれと同じ地盤で杭の引抜き跡など水みちができやすい場合に発生する可能性がある,ボイリングは透水性が小さく地下水位が高い地盤で発生する可能性がある,d,ボイリングは透水性が大きく地下水位が高い地盤で発生,道路土工仮設構造物工指針,標準
47,土質及び基礎,2015,掘削工事の計画に関する記述として、誤っているものはどれか。,一般的な仮設構造物であれば地震時の検討は行なわなくてよい,平面位置の計画にあたり特に土留め壁を本体利用する場合は施工時の土留め壁の変形量と地盤の塑性域を考慮して内空を確保するようにしなければならない,軟弱地盤で且つ大深度工事の場合は計測管理(情報化施工)を実施するのがよい,若干不経済となっても掘削平面形状は平行四辺形や多角形にすることを避け矩形形状とするのがよい,a,重要な仮設構造物では地震時の検討も必要,道路土工仮設構造物工指針,標準
48,土質及び基礎,2015,自立式土留めに関する記述として、正しいものはどれか。,土留め壁頭部の許容変位量は掘削深さの5%を目安とする,指針に示された設計手法を用いた場合適用範囲は軟弱地盤で概ね3m以浅である,根入れ長の算定方法は受働土圧によるモーメントと主働土圧によるモーメントのつり合いを基本としている,粘性土地盤の主働土圧の下限値は0.5γh(γ:土の単位体積重量h:着目点までの掘削深さ)である,c,自立式土留めは主働土圧と受働土圧のモーメントつり合いで設計,道路土工仮設構造物工指針,標準
49,土質及び基礎,2015,擁壁工指針の維持管理に関する記述として、誤っているものはどれか。,擁壁の設計資料工事記録点検記録や補修履歴は利用しやすいようにできるだけ簡潔に記録し保存する,記録は所定の様式を定め取りまとめておく,擁壁の点検には防災点検日常点検定期点検異常時点検がある,防災点検は道路災害のおそれがある箇所についてその箇所の把握と対策事業計画の策定を目的として行われてきた,a,記録は簡潔ではなく詳細かつ正確に記録保存する,道路土工擁壁工指針,標準
50,土質及び基礎,2015,土圧に関する記述として、誤っているものはどれか。,クーロン土圧は壁面の傾きや壁面摩擦角も任意に選ぶことができる,ランキン土圧は地表面が水平で且つ摩擦のある壁面に直接作用する場合に用いることはできない,試行くさび法はクーロン土圧を図解によって算定する方法の一つである,クーロン土圧は地盤が横方向に一様に広げられてゆき地盤全体が土の破壊に到達した状態の土中の応力から土圧を計算している,d,クーロン土圧は土のくさびの破壊を仮定した土圧理論,土質力学,標準
51,土質及び基礎,2015,グラウンドアンカーの機能と対策のイメージに関する空欄の組み合わせとして正しいものはどれか。,ア:更新 イ:補修・補強 ウ:耐久性向上,ア:更新 イ:補強 ウ:補修,ア:補強 イ:更新 ウ:耐久性向上,ア:更新 イ:補修 ウ:補修・耐久性向上,a,性能低下に対する対策順序は補修・補強→更新→耐久性向上,グラウンドアンカー設計・施工基準,標準
52,土質及び基礎,2015,軟弱粘性土地盤に橋台を設置する場合の設計・施工に関する記述として、最も適切でないものはどれか。,圧密沈下の発生が予想されたので杭はその影響を考慮し突出杭として設計した,側方移動のおそれがあったので上部工荷重の軽減を行った,橋台の施工に先立ち盛土を先行施工した,橋台背面の盛土荷重を軽減する工法の採用は基礎の剛性を減少させることからかえって大きな側方移動が生じることもある,d,盛土荷重軽減は側方移動を減少させる効果がある,道路橋示方書IV下部構造編,標準
53,土質及び基礎,2015,設計図等に記載すべき事項のうち設計で考慮した維持管理に関する項目として、誤っているものはどれか。,基礎の施工法に関する記載,地震による液状化・流動化に関する記載,長期の圧密沈下や側方移動に関する記載,洗掘に関する記載,a,基礎の施工法は維持管理ではなく施工に関する事項,道路橋示方書IV下部構造編,標準
54,土質及び基礎,2015,地中連続壁基礎を採用する場合の設計・施工条件として、最も適用性が低いものはどれか。,地下水の流速が5m/minの滞水層が存在する,中間層に礫径5~10cm程度の砂礫層が存在する,周辺に近接構造物があり施工による影響を極力排除する必要がある,支持層の深さが50m程度である,a,地下水流速5m/minは地中連続壁施工には不適,道路橋示方書IV下部構造編,標準
55,土質及び基礎,2015,構造物基礎に関する記述として、誤っているものはどれか。,ケーソン基礎の許容鉛直支持力は偏心傾斜の影響を考慮して求めなければならない,直接基礎の場合鉛直荷重は基礎底面地盤の鉛直地盤反力のみで抵抗させなければいけない,地盤が軟弱で基礎に生じる水平変位が大きくなるような条件では斜杭を用いることにより合理的な構造となる可能性がある,地中連続壁基礎に関しては一般に根入れ深さが大きくまた水平変位の照査も行うことから転倒に至るような著しい傾斜は起こらないと考えてよい,b,直接基礎では鉛直荷重を基礎底面と側面の地盤反力で支持,道路橋示方書IV下部構造編,標準
