id,category,year,question,option_a,option_b,option_c,option_d,correct_answer,explanation,reference,difficulty
11,道路,2008,道路の持つ機能の組み合わせで、誤っているものはどれか。,交通機能－自動車－アクセス,空間機能－情報空間,交通機能－歩行者自転車－滞留,空間機能－防災空間,c,交通機能における歩行者自転車は移動であり滞留は空間機能に該当する,道路構造令,基礎
12,道路,2008,交通調査に関する記述のうち、誤っているものはどれか。,OD調査とは自動車交通の交通量起終点乗員数などを調査するものである,プローブカー調査とはカーナビゲーションを車両に搭載して走行データを収集する調査である,渋滞長調査とは信号待ちの車両の長さ車種や信号待ちの回数を計る調査である,断面交通量調査とは現況道路の断面交通量を調査するものである,a,OD調査は起終点調査であり乗員数調査とは別の調査である,交通調査要綱,標準
13,道路,2008,次の記述のうち、誤っているものはどれか。,スマートICとはETCを搭載した車両に限定しているインターチェンジである,PIとは市民等に情報を提供した上で広く意見を聞き政策や計画の立案に反映するプロセスである,VICSとは道路上に設置したビーコンとAM放送によって渋滞情報などをリアルタイムでカーナビに提供するシステムである,TDMとは車の利用者の交通行動の変更を促すことにより道路交通混雑を緩和する手法である,c,VICSはFM多重放送を用いており AM放送は用いない,ITS関連技術,標準
14,道路,2008,歩車共存道路の記述のうち、誤っているものはどれか。,歩行者に対するサービスを優先し自動車に対するサービスを限定する,歩車道境界には縁石等を設けて物理的に車道と分離する,凸部や狭窄部屈曲部等で自動車の速度を抑制する構造を用いる,歩行者自転車自動車の通行空間が同一平面上にある,b,歩車共存道路では物理的分離を行わず同一平面上で共存させる,道路構造令,標準
15,道路,2008,防護柵に関する記述のうち、誤っているものはどれか。,路側高さ4m以上かつ法勾配1.0以下の区間には車両用防護柵を設置する必要がある,車両用防護柵の路面から防護柵上端までの高さは0.6m以上1.0m以下とする,歩行者等の転落防止を目的として設置する柵の路面からの柵面の上端までの高さは1.1mを標準とする,剛性防護柵のフロリダ型は柵前面が80度の傾斜面でできているコンクリート製の防護柵である,a,路側高さ4m以上かつ法勾配1:1.5より急な区間に車両用防護柵を設置する,防護柵設置基準,標準
16,道路,2008,擁壁設計で地震の影響を考慮する場合の許容応力度の割増し係数のうち、正しいものはどれか。,1.20,1.25,1.50,2.00,c,地震時の許容応力度割増し係数は1.50である,道路土工指針,標準
17,道路,2008,道路横断排水施設の排水計画で標準的に用いられる降雨確率年の組合せで、誤っているものはどれか。,計画交通量10000台日以上－高速自動車国道－10年以上,計画交通量10000～4000台日－一般国道－10年以上,計画交通量4000～500台日－都道府県道－7年,計画交通量500台日未満－市町村道－3年,b,一般国道は5年確率が標準である,道路土工指針,標準
18,道路,2008,剛性パイプカルバートの埋設形式で、突出型とならないものはどれか。,直接地盤またはよく締固めた地盤上に設置する場合,溝掘りした後管が杭で支持される場合,溝掘りした後管上での溝幅が管の外径の1.5倍以上ある場合,溝掘りした後原地盤からの土かぶりが管上での溝幅の1/2以下の場合,a,直接地盤設置は埋設型となり突出型にはならない,道路土工指針,標準
19,道路,2008,構造物によるのり面保護工に関する記述のうち、誤っているものはどれか。,モルタル吹付工はのり面の風化侵食表面水の浸透防止のためにモルタルを8～10cm吹付ける工法である,現場打ちコンクリート枠工は湧水を伴う風化岩や長大のり面でのり面の長期安定性が確保できない場合に単独あるいはグラウンドアンカー工と併用して用いられる工法である,グラウンドアンカー工の機能には締め付け機能と引き止め機能がありすべり面の勾配がゆるやかでかつすべり面が比較的深い場合には引き止め機能は無視することもある,切土補強土工は地山に挿入された補強材によって斜面全体の安定を図る工法で補強材の打設密度は経験的に2m2あたり1本である,c,すべり面が深い場合は引き止め機能が重要であり無視できない,道路土工指針,標準
20,道路,2008,道路標識に関する記述のうち、誤っているものはどれか。,規制標識とは車両の通行を禁止したり駐車を禁止するなど特定の通行方法を制限したり交差点流入路の進行方向別通行区分などのように特定の通行方法に従うよう指示する標示板で設置管理者は都道府県公安委員会または道路管理者である,指示標識とは特定の通行方法が許されることやその区間または場所が道路交通法上どのような意味を持つかを示す標示板で設置管理者は都道府県公安委員会または道路管理者である,警戒標識とは運転上注意すべき状況などを前もって知らせる表示板で設置管理者は都道府県公安委員会である,案内標識とは地点の名称方向距離などを示して道路利用者の経路選択の便宜を図る標識で設置管理者は道路管理者である,c,警戒標識の設置管理者は道路管理者である,道路標識設置基準,標準
21,道路,2008,舗装材料の配合設計における最適アスファルト量の決定で考慮する項目として、最も不適切なものはどれか。,マーシャル安定度,フロー値,空隙率,針入度,d,針入度は材料選定時の指標であり配合設計では考慮しない,舗装設計施工指針,標準
22,道路,2008,アスファルト舗装の構造設計における等値換算係数について、正しい組み合わせはどれか。,表層：4.0 基層：2.0 上層路盤：1.0,表層：3.0 基層：2.0 上層路盤：1.0,表層：4.0 基層：3.0 上層路盤：1.0,表層：5.0 基層：3.0 上層路盤：1.5,a,表層4.0基層2.0上層路盤1.0が標準的な等値換算係数である,舗装設計施工指針,標準
23,道路,2008,コンクリート舗装の設計に関する記述のうち、誤っているものはどれか。,版の支持条件はウィンクラー地盤上の弾性板として扱う,温度応力は日較差による線膨張を考慮して算定する,輪荷重応力は版中央載荷による曲げ応力を考慮する,ダウエルバーは荷重伝達効率を向上させるために設置する,c,輪荷重応力は版端部載荷による曲げ応力を考慮する,舗装設計施工指針,標準
24,道路,2008,舗装の維持修繕に関する記述のうち、誤っているものはどれか。,予防的修繕は舗装の性能が著しく低下する前に実施する修繕である,事後的修繕は舗装の性能が維持基準を下回った後に実施する修繕である,オーバーレイは既設舗装の上に新しい舗装を重ねる工法である,リサイクル工法は既設舗装材料を路上で再生利用する工法のみを指す,d,リサイクル工法には路上再生と路上外再生の両方がある,舗装設計施工指針,標準
25,道路,2008,道路附属施設に関する記述のうち、誤っているものはどれか。,道路照明は夜間の交通安全と交通の円滑化を図るために設置する,道路情報提供装置は道路利用者に必要な情報を提供するために設置する,融雪施設は積雪寒冷地における冬期の道路交通確保を目的として設置する,遮音壁は道路交通騒音の発生源対策として最も有効な対策である,d,遮音壁は伝搬経路対策であり発生源対策ではない,道路構造令,標準
26,道路,2008,道路の冬期対策に関する記述のうち、誤っているものはどれか。,凍結防止剤散布は路面凍結を防止するために塩化ナトリウム等を散布する,除雪作業は交通確保のために積雪を道路脇に排除する作業である,流雪溝は消融雪のために地下水や河川水を利用した施設である,防雪柵は吹雪による視程障害を防ぐために道路に平行に設置する,d,防雪柵は吹雪の道路への吹き込みを防ぐために風向きを考慮して設置する,道路防雪便覧,標準
27,道路,2008,道路の環境対策に関する記述のうち、誤っているものはどれか。,低騒音舗装は多孔質アスファルト混合物により騒音低減を図る舗装である,環境施設帯は道路と沿道との間に設ける緩衝空間である,遮音壁は道路交通騒音の沿道への影響を軽減するために設置する,大気汚染対策は主として道路構造の改良により解決する,d,大気汚染対策は交通流対策や車両対策が主体となる,道路環境影響評価の技術手法,標準
28,道路,2008,ITS技術に関する記述のうち、誤っているものはどれか。,DSRC は専用狭域通信により車両と路側機器間の双方向通信を行う,ETC は料金所での自動料金収受システムである,PTPS は公共車両優先システムである,AHS は完全自動運転システムとして既に実用化されている,d,AHSは研究開発段階であり完全自動運転は実用化されていない,ITS関連技術,標準
29,道路,2008,道路の性能規定に関する記述のうち、誤っているものはどれか。,性能規定は達成すべき性能を明示し手段は限定しない発注方式である,仕様規定と比較して技術革新や創意工夫の余地が大きい,性能規定では設計施工一括発注方式が採用されることが多い,性能規定では従来の技術基準をそのまま適用できる,d,性能規定では新たな性能照査基準が必要となる,道路政策の変遷,応用
30,道路,2008,道路の資産管理に関する記述のうち、誤っているものはどれか。,アセットマネジメントは道路資産の効率的な維持管理を目的とする,ライフサイクルコストは建設から廃棄までの総費用である,予防保全は事後保全と比較してライフサイクルコストを低減できる,舗装のMCI は路面の平坦性のみを評価する指標である,d,MCIは平坦性ひび割れわだち掘れ等を総合的に評価する指標である,舗装マネジメント指針,応用
31,土質及び基礎,2008,地形に関する記述のうち、最も不適切なものはどれか。,自然堤防は氾濫原地帯で形成されることが多い,後背湿地は自然堤防などの微高地背後に形成されることが多い,急勾配河川に残った旧河道は礫質地盤が分布することが多い,急勾配河川で形成されたせき止め沼沢地跡の地盤は砂・礫がちな地盤が多い,d,せき止め沼沢地跡は細粒分の多い軟弱地盤となることが多い,地盤工学会基準,標準
32,土質及び基礎,2008,土粒子の大きさと粒径加積曲線に関する記述のうち、最も不適切なものはどれか。,粒径加積曲線が横に幅広く寝ている形の土は粒度配合の良い土である,D10とD60の比Ucは均等係数と呼ばれる,D10は有効径とも呼ばれクレーガーは透水性の指標に用いた,75μm以上の大きさの粒子はふるいにより分析される,b,均等係数UcはD60/D10で定義される,JIS A 1204,標準
33,土質及び基礎,2008,土の状態を表す諸量として、誤っているものはどれか。,含水比w＝(mw/ms）×100（％）,乾燥密度ρd＝ms/V（g/cm3）,湿潤密度ρt＝m/V（g/cm3）,間隙比e＝Vv/V,d,間隙比e＝Vv/Vsが正しい,JIS A 1202,基礎
34,土質及び基礎,2008,土の一軸圧縮試験方法で記載されている注意事項のうち、誤っているものはどれか。,この規格は練り返した試料又は締め固めた土砂質土などの自立する供試体にも準用できる,毎分1％の圧縮ひずみが生じる割合を標準として連続的に供試体を圧縮する,供試体の含水比を測定する場合供試体作成時の含水比の変化は許容される,供試体の高さは直径の1.8～2.5倍とする,c,供試体作成時の含水比変化は許容されない,JIS A 1216,標準
35,土質及び基礎,2008,軟弱地盤における河川掘削に関する記述のうち、誤っているものはどれか。,掘削のり面は時間の経過とともに応力開放の影響で強度が低下するので安定計算に用いる土質定数の設定には注意が必要である,のり面が安定しない場合の対策工法の一つとしてサンドドレーン工法が考えられる,砂質土層に被圧地下水がある場合盤ぶくれの問題があるので安全性の検討が必要である,掘削残土の有効利用のひとつの手段として固化剤の添加が考えられる,b,サンドドレーンは圧密促進工法であり掘削のり面安定対策ではない,道路土工指針,標準
36,土質及び基礎,2008,道路土工指針による盛土の標準のり面勾配を採用する場合の条件として、誤っているものはどれか。,盛土高さが10m以下である,基礎地盤の支持力が十分期待できる,基礎地盤からの地下水の流入がない,水平薄層に敷きならし転圧されている,a,盛土高さは15m以下が条件である,道路土工指針,標準
37,土質及び基礎,2008,施工中の切土のり面の保護に関する記述のうち、最も不適切なものはどれか。,施工時の雨水等によりのり面の浸食や落石が発生する場合があるため一時的な排水やのり面保護落石防止を行う,長大のり面でも掘削終了までのり面を一時的に保護しておきその後再度上方からのり面保護工を本施工するのがよい,施工時ののり面保護としての排水対策はビニールシートや土のう等の組合せにより切土部への水の浸透を防止しのり面上を表面水が流れないようにする,施工時ののり面保護としてビニールシート等による被覆やモルタル吹付け草本植物の種子散布などを行うことがある,b,長大のり面では段階的に恒久的な保護工を施工するのが適切である,道路土工指針,標準
38,土質及び基礎,2008,軟弱地盤対策を検討する際の組み合わせで、関係の無いものはどれか。,カードボードドレーン工法・・・・・・圧密係数,セメント混合処理工法・・・・・・・・室内配合試験,掘削置換工法・・・・・・・・・・・・強度増加率,大気圧載荷工法・・・・・・・・・・・e～logp曲線,c,掘削置換工法では強度増加率は関係なく支持力や沈下量が重要である,軟弱地盤対策工法,標準
39,土質及び基礎,2008,体積圧縮指数mvを用いて求めるものとして、正しいものはどれか。,一次圧密沈下量,圧密時間,二次圧密沈下量,時間係数,a,体積圧縮指数mvは一次圧密沈下量の算定に用いられる,地盤工学会基準,標準
40,土質及び基礎,2008,表層処理工法に関する説明として、誤っているものはどれか。,サンドマット工法・・・圧密排水を促進させ盛土内への地下水上昇を防止するために適用する,敷設材工法・・・・・・地盤の局部的せん断破壊を防止するため地盤面にせん断強さあるいは引張り力の大きな材料を敷設し盛土荷重の分散支持を図る,表層排水工法・・・・・表層に地下排水溝などを設け排水を良くして地盤の改良を促進するサンドマット工法と同じく即効性に優れている,表層混合処理工法・・・セメント・石灰などによって軟弱層の表層を処理し地盤の強度を上げる,c,表層排水工法は即効性がなく長期的な改良効果を期待する工法である,軟弱地盤対策工法,標準
41,土質及び基礎,2008,土留め壁の変形を抑制するための切ばりプレロードに関する記述のうち、誤っているものはどれか。,プレロードを考慮した土留め架構の設計方法は数種類提案されているが研究段階でありまだ確立されたものがない,過去の事例では切ばりプレロードは切ばり設計軸力の30％程度を導入する事が多い,切ばりプレロードは同一段にある一方向の全ての切ばりに対して同時に均等に導入することが望ましい,切ばりプレロード導入時は切ばりの局部座屈や蛇行などに注意する,a,プレロード設計方法は確立されており実用化されている,土留め設計施工指針,標準
42,土質及び基礎,2008,土留め掘削工事における補助工法とその目的に関する組み合わせのうち、誤っているものはどれか。,消石灰工法・・・・・・地盤の止水性増加,薬液注入工法・・・・・・地盤の強度増加,地下水位低下工法・・・・ボイリングの防止,深層混合処理工法・・・・受働抵抗の増強,a,消石灰工法は地盤の強度増加が目的で止水性向上ではない,土留め設計施工指針,標準
43,土質及び基礎,2008,土のせん断抵抗角φ＝30°で地表面が水平の場合のランキンの主働土圧係数として、正しいものはどれか。,0.300,0.250,3.000,0.333,d,Ka=tan²(45°-φ/2)=tan²(45°-15°)=tan²30°=1/3≒0.333,土質力学,標準
44,土質及び基礎,2008,基礎工の検討に関する記述のうち、最も不適切なものはどれか。,基礎の支持層下に分布する粘性土層に対して支持力をチェックするとともに圧密沈下量を検討した,場所打ち杭の採用を検討する場合ボーリング柱状図の礫径で施工の可否を判断する,基盤傾斜の激しい場所での深礎基礎では転石と基盤の判別を慎重に行う,地下水が高い地盤での中掘杭では杭先端でボイリングが生じないよう留意する,b,施工可否は礫径だけでなく礫の硬度や工法の適用性も考慮する必要がある,道路橋示方書,標準
45,土質及び基礎,2008,道路橋示方書における基礎の耐震設計に関する記述として、誤っているものはどれか。,レベル2地震動に対する直接基礎の安定性の照査は行わなくて良い,杭頭結合部はレベル2地震動が作用した際に杭本体よりも先に降伏しないように設計する,橋台基礎は液状化が発生しない場合レベル2地震動に対する照査を省略できる,橋脚の杭基礎は必ず橋脚躯体よりも先に塑性化しないように設計する,a,レベル2地震動に対しても直接基礎の安定性照査は必要である,道路橋示方書,標準
46,土質及び基礎,2008,軟弱地盤にオールケーシング工法で杭を構築する場合のネッキング現象が生じやすい箇所はどれか。,杭頭付近,杭先端付近,杭長全体,杭中間付近,d,ネッキングは軟弱層と硬質層の境界付近で生じやすい,杭基礎設計便覧,標準
47,土質及び基礎,2008,道路橋示方書における杭に作用する負の周面摩擦力に関する記述のうち、誤っているものはどれか。,負の周面摩擦力は圧密沈下する層及びその上層に働く負の周面摩擦力の和である,検討する対象荷重は死荷重と活荷重である,群杭の場合は負の周面摩擦力を低減できる,検討項目は杭の鉛直支持力杭体応力度杭頭沈下量である,b,検討対象荷重は死荷重のみで活荷重は含まない,道路橋示方書,標準
48,土質及び基礎,2008,液状化対策工検討に関する記述のうち、誤っているものはどれか。,地盤の液状化は再発性があると想定し既往履歴を参考にする,地盤の液状化は地形境界条件によっては流動化を引き起こすことがある,構造物基礎だけでなく附帯するライフラインなどへの影響も検討する,橋台や橋脚の計画において地盤の液状化の可能性が高い場合は地盤改良以外の対策を用いてはならない,d,液状化対策には地盤改良以外にも構造的対策等がある,道路橋示方書,標準
49,土質及び基礎,2008,地震時に地盤の液状化が発生しにくい地形はどれか。,高位河岸段丘,三角州,自然堤防,砂州,a,高位河岸段丘は古い地層で締固まっており液状化しにくい,液状化対策工法設計・施工マニュアル,標準
50,土質及び基礎,2008,砂質土の液状化判定を簡易法で行う場合、動的せん断強度比を求める事項のうち、関係の無いものはどれか。,細粒分含有率,設計水平震度,有効上載圧,N値,b,設計水平震度は液状化判定に直接関係しない,道路橋示方書,標準
51,土質及び基礎,2008,粘性土の圧密に関する記述のうち、誤っているものはどれか。,一次圧密は過剰間隙水圧の消散に伴う体積変化である,二次圧密は土粒子骨格のクリープによる体積変化である,圧密度Uは圧密沈下の進行程度を表す指標である,圧密降伏応力は土の構造が破壊される応力である,d,圧密降伏応力は先行圧密応力ともいい過去に受けた最大の有効応力である,土質力学,標準
52,土質及び基礎,2008,土の透水に関する記述のうち、誤っているものはどれか。,ダルシーの法則は透水係数が一定の条件で成り立つ,透水係数は土の粒径の2乗に比例する,層流から乱流への遷移はレイノルズ数で判定される,定水位透水試験は透水係数の大きい土に適用される,a,ダルシーの法則は動水勾配が小さい条件で成り立つ,土質試験の方法と解説,標準
53,土質及び基礎,2008,土のせん断強度に関する記述のうち、誤っているものはどれか。,モール・クーロンの破壊規準はせん断強度の基本式である,砂質土の内部摩擦角は相対密度に依存する,粘性土の非排水せん断強度は拘束圧に依存しない,残留強度は変位が大きくなった時の強度である,c,粘性土の非排水せん断強度は圧密圧力に依存する,土質力学,標準
54,土質及び基礎,2008,地盤調査に関する記述のうち、誤っているものはどれか。,標準貫入試験は動的貫入試験の一種である,コーン貫入試験は静的貫入試験の一種である,平板載荷試験は地盤の変形特性を求める試験である,孔内水平載荷試験は地盤の透水性を求める試験である,d,孔内水平載荷試験は地盤の変形特性を求める試験である,地盤調査の方法と解説,標準
55,土質及び基礎,2008,土の動的性質に関する記述のうち、誤っているものはどれか。,動的変形係数は静的変形係数より大きくなることが多い,地震時の土の変形は非線形性が強い,液状化強度は相対密度が大きいほど大きくなる,減衰定数は土の種類によって異なる,a,動的変形係数は静的変形係数より小さくなることが多い,地盤の動的解析,標準
56,土質及び基礎,2008,杭基礎の設計に関する記述のうち、誤っているものはどれか。,杭の極限支持力は先端支持力と周面摩擦力の和である,群杭効果により杭の支持力は単杭より小さくなることがある,杭頭固定度は杭と上部構造の結合方法により決まる,杭の水平抵抗は地盤反力係数に比例する,d,杭の水平抵抗は変位に対して非線形性を示す,道路橋示方書,標準
57,土質及び基礎,2008,地盤改良工法に関する記述のうち、誤っているものはどれか。,置換工法は軟弱土を良質土に置き換える工法である,表層安定処理工法は軟弱地盤表層を固化材で改良する工法である,深層混合処理工法は原地盤と固化材を機械的に攪拌混合する工法である,プレローディング工法は地盤に永続的な荷重を載荷する工法である,d,プレローディング工法は一時的な荷重を載荷し除荷後に構造物を構築する,軟弱地盤対策工法,標準
58,土質及び基礎,2008,擁壁の設計に関する記述のうち、誤っているものはどれか。,重力式擁壁は自重により土圧に抵抗する,もたれ式擁壁は背面土塊と一体となって安定を保つ,L型擁壁は底版の重量を利用して転倒に抵抗する,逆T型擁壁は前趾版がなく経済的である,d,逆T型擁壁は前趾版があり荷重を分散する構造である,道路土工指針,標準
59,土質及び基礎,2008,斜面安定に関する記述のうち、誤っているものはどれか。,円弧すべり面を仮定した解析法が一般的である,安全率は抵抗力と駆動力の比で定義される,間隙水圧は斜面安定性を低下させる,地震時の安全率は平常時より大きく設定する,d,地震時の安全率は平常時より小さく設定する,道路土工指針,標準
60,土質及び基礎,2008,土の凍上に関する記述のうち、誤っているものはどれか。,凍上は毛細管現象による水分移動が原因である,凍上しやすい土は0.02～0.2mmの粒径範囲の土である,凍結深度は気象条件と地盤条件により決まる,凍上対策として置換工法や断熱工法がある,b,凍上しやすい土は0.002～0.02mmの粒径範囲のシルト質土である,寒冷地土木技術,標準
61,河川砂防,2008,流出計算に関する記述のうち、誤っているものはどれか。,合理式法は洪水のピーク流量を推算するための簡便な方法である,貯留関数法は流出現象の非線形性を表すためにS＝KQPの関数関係を仮定して降雨量から流出量を求める方法である,タンクモデル法は低水流量計算のみに用いられる手法である,準線形貯留型モデルとは都市化等の土地利用の変化が流出に及ぼす変化を表現できるモデルである,c,タンクモデル法は低水流量だけでなく洪水流量の計算にも用いられる,河川砂防技術基準,標準
62,河川砂防,2008,洪水調節施設に関する記述のうち、誤っているものはどれか。,トンネル河川を開水路方式で計画する場合は計画高水流量を2割増しした設計流量とする,放水路では洪水分派に伴って大量の土砂が放水路内に流入し本川への流砂量が減少する結果本川の河床低下や海岸侵食を引き起こすことにもなる,遊水池は越流堤を通じてある水位以上の洪水を導水し囲繞堤・周囲堤と呼ばれる遊水池を取り囲む堤防内に貯留し洪水調節を行う施設である,地下調節池はトンネルまたはボックス状の地下貯水槽で洪水を一時的に貯留する施設である,a,トンネル河川の開水路方式では計画高水流量の1.2倍ではなく余裕高等を考慮した断面とする,河川砂防技術基準,標準
63,河川砂防,2008,低水計画に関する記述のうち、誤っているものはどれか。,維持流量とは舟運漁業景観塩害の防止河口閉塞の防止河川管理施設の保護地下水位の維持動植物の保護流水の清潔の保持等を総合的に考慮し渇水時において維持すべきであるとして定められた流量である,計画基準点としては既往の水文資料が十分得られ水文解析の拠点となりしかも低水に関する計画に密接な関係のある地点を選定するものとする,正常流量はその河川の計画基準点について定めるものとし原則として10ヵ年の第1相当の渇水時において維持できるように計画するものとする,水需要の予測は生活用水工業用水農業用水等の各目的の内最も需要の伸びが大きい用水に対して行う,d,水需要の予測は各用水需要を個別に予測し合計して行う,河川砂防技術基準,標準
64,河川砂防,2008,迅速的確な避難を行う施策として、誤っているものはどれか。,浸水想定区域土砂災害危険区域避難経路避難場所等を地域住民に周知する,河川管理者からの迅速的確な避難勧告と避難指示,洪水の氾濫流の到達時間浸水深浸水時間等の災害予測情報の作成と公表,平常時災害時を問わず常に地域住民へ防災に関する啓発活動を行う,b,避難勧告と避難指示は市町村長が発令するものであり河川管理者ではない,災害対策基本法,標準
65,河川砂防,2008,貯水池・湖沼等の水質保全対策に関する記述のうち、誤っているものはどれか。,貯水池・湖沼等の水質保全対策には水温・流動の制御負荷削減負荷の分離及び導水等がある,水温・流動の制御手法の選定では水温の鉛直分布貯水池の回転率及び流入水の拡散状況等を考慮する,負荷削減対策には流入水質対策前貯水池の設置底泥浚渫等がある,導水は濁水長期化対策に適用可能であるただし導水される水の濁度に留意する必要がある,c,底泥浚渫は負荷削減対策ではなく負荷の分離対策である,ダム貯水池水質保全指針,標準
66,河川砂防,2008,河川情報に関する記述のうち、誤っているものはどれか。,河川に係わる情報はリアルタイムデータと蓄積データに分けてデータベースを整備し提供することが必要である,リアルタイムデータの収集提供システムは洪水時等における被害軽減のために迅速性・確実性に配慮する,蓄積データについてはデータの品質確保と利用のしやすさに配慮する,情報の共有化に当たっては誤った情報の提供を避けるため提供手段を一元化することが必要である,d,情報提供手段は多元化し多様な手段で提供することが重要である,河川情報システム,標準
67,河川砂防,2008,海岸侵食に関する記述のうち、誤っているものはどれか。,海岸侵食対策は国土の消失や波による災害を防ぐとともに海岸利用空間を確保することなどが目的である,海岸侵食に対しては動的養浜により計画海浜形状の諸元を確保し静的養浜等によって漂砂量の均衡を回復し計画海浜形状の諸元を維持する,侵食機構の検討に当たっては流域・沿岸域における土砂環境の変遷を調査し海岸への供給土砂量海岸での漂砂移動を解明しなければならない,侵食対策の検討に当たっては海岸環境及び海岸利用との調和を図り海岸の種々の特性が十分に生かされるようにする,b,動的養浜と静的養浜の記述が逆である,海岸保全施設築造基準,標準
